"dms_orig","dms_dest","sctg2","dms_mode","thousand tons in 2019","million dollars in 2019","million ton-miles in 2019","thousand tons in 2024","million dollars in 2024","million ton-miles in 2024","thousand tons in 2030","thousand tons in 2030_low","thousand tons in 2030_high","million dollars in 2030","million dollars in 2030_low","million dollars in 2030_high","million ton-miles in 2030"
"229-Rest of LA","393-Columbus OH","14-Metallic ores","1-Truck","0.762","4.9474","0.7649","0.7303","4.7418","0.7331","0.7922","0.7858","0.9019","5.1434","5.1022","5.856","0.7952"
"229-Rest of LA","482-Beaumont TX","14-Metallic ores","1-Truck","1.0001","2.9908","0.19","0.9586","2.8665","0.1821","0.8165","0.7435","0.9314","2.4417","2.2233","2.7851","0.1552"
"229-Rest of LA","489-Rest of TX","14-Metallic ores","1-Truck","6.8636","0.405","2.5673","6.5783","0.3882","2.4606","7.319","6.4901","8.4962","0.4319","0.383","0.5013","2.7376"
"242-Washington DC-VA-MD-WV (MD Part)","242-Washington DC-VA-MD-WV (MD Part)","14-Metallic ores","1-Truck","0.0002","0.0005","0","0.0002","0.0005","0","0.0001","0.0001","0.0001","0.0003","0.0003","0.0004","0"
"249-Rest of MD","241-Baltimore MD","15-Coal","2-Rail","484.8237","44.3315","60.0758","391.239","35.7742","48.4794","159.4603","158.618","165.1126","14.5808","14.5038","15.0976","19.7591"
"249-Rest of MD","249-Rest of MD","15-Coal","1-Truck","54.1733","2.474","1.6801","43.7164","1.9965","1.3558","11.8316","11.7539","12.2608","0.5403","0.5368","0.5599","0.3669"
"249-Rest of MD","429-Rest of PA","15-Coal","1-Truck","3.8276","0.0374","0.5418","3.0888","0.0301","0.4372","0.7424","0.7329","0.7959","0.0072","0.0072","0.0078","0.1051"
"249-Rest of MD","512-Virginia Beach-Norfolk VA-NC (VA Part)","15-Coal","2-Rail","550.6822","61.1167","212.3435","444.3849","49.3195","171.3552","136.7671","135.6063","144.1496","15.1789","15.0501","15.9982","52.7375"
"249-Rest of MD","540-West Virginia","15-Coal","1-Truck","5.0013","0.1108","0.7289","4.0359","0.0894","0.5882","1.2778","1.2573","1.3851","0.0283","0.0278","0.0307","0.1862"
"249-Rest of MD","540-West Virginia","15-Coal","2-Rail","1923.1074","102.3876","595.5694","1551.8933","82.6239","480.6076","491.3576","483.44","532.6076","26.1602","25.7387","28.3564","152.1691"
